-32768, 32767, 28928,-18176,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-17152,  4352, 25856, 32767, 32767, 32767, 24832,-32512,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-29440, -7936
 32000, 32767, -2816,-32768,-32768,-32768,-32768,-32768,-32000,-23552,-15104, -6656,  1792, 10240, 18688, 27136, 32767, 32767, -9984,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-25856,-17408, -8960,  -512

 16384, 32767, 32767, 14080,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-30976, 18176, 32767, 32767, 32767, 32767, 32767,  -256,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768, 12032, 32767
 32767, 32767, 20224,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-28928, -6656, 15616, 32767, 32767, 32767, 32767, 32767, 13056,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-12032, 10240, 32512, 32767
-32768,-32768,-32768,-32768,-32768,-32768,-32768,-27392, -9728,  7936, 25600, 32767, 32767, 32767, 32767,   256,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-25856, -8192,  9472, 27136, 32767, 32767,-11008
-32768,-32768,-32768,-32768,-32768,-32768,-27904,  2816, 32767, 32767, 32767, 32767, 32767,-32000,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768, -3328, 27392, 32767, -2304,-32768,-32768,-32768
-32768,-32768,-32768,-32768,-32768, -1536, 32767, 32767, 32767, 32767,-24832,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-24576, 14592,-32768,-32768,-32768,-32768,-32768,-32768,-32768
-16128,-16128, -1536, 32767, 32767, 32767, 32767,-24832,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-24576, 14592,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768

-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768, -9728, 21760, 32767, 32767, 32767, 32767, 32767, 23296,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-12032, 19456, 32767, 32767, 32767, 32767, 12032
-32768,-32768,-32768,-32768,-32768,-32768,-32768, 16640, 32767, 32767, 32767, 32767, 32767,   256,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,  7424, 32767, 32767, 32767, 32767,-22272,-32768,-32768
-32768,-32768,-32768,-32768,-32768, -1536, 32767, 32767, 32767, 32767, 32767,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-22272, 32767, 32767, 32767,-21248,-32768,-32768,-32768,-32768,-32768
-29952,-29952, -1536, 32767, 32767, 32767, 32767, 32767,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-22272, 32767, 32767, 32767,-21248,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768
 27648,-26625,-13057,-32513,    -1,    -1,-16128,     0,     0,     0,     0,     0,     0,  6912, 24576,-23296, -5632,    -1,    -1, 28160, 27904,-16128,  4352,     0,     0,     0,     0,  5376, 23040,-24832, -7168,    -1
-29696,-24320,-17152, -8704,  -256,    -1, 17664,     0,     0,     0,     0,     0,     0, 29440, -5376,    -1, 30464,  6144, 14592, 23040, 31488,-25600,  6400,     0,     0,     0,  4864,-29952,    -1,  6143, 14591, 23039
-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-24576, 14592,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768, -1536, 32767, 32767, 32767, 32767,  -256,-32768
-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-24576, 14592,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768, -1536, 32767, 32767, 32767, 32767,  -256,-32768,-32768,-32768,-32768

-28929, -8193,    -2, -9473,    -1,    -1,    -1, 22272,     0,     0,     0,     0,     0, 20736,-13312,    -1,    -1,    -1, 26367,-20737,    -1,    -1,    -1,     0,     0,     0,     0,     0, 23040,-11008,    -1,    -1
