id,workload,stage,operator,shape_args,reason,log_file,num_simulations,total_cycles,max_cycles,latency_us,wall_clock_s,avg_dram_aggregate_gbps,avg_systolic_util_pct,avg_vector_util_pct,dma_active_cycles,dram_reads,dram_writes,status
unet_conv_64_320_320,SD_UNet,early_down,conv,1 64 64 320 320 3 1 1,UNet early feature conv proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/unet_conv_64_320_320.log,1,187707,187707,199.68829787234043,54.757187,248.62105263157895,90.38184210526317,0.93,189336,2682072,344064,ok
unet_conv_32_640_640,SD_UNet,mid_down,conv,1 32 32 640 640 3 1 1,UNet middle feature conv proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/unet_conv_32_640_640.log,1,136456,136456,145.1659574468085,60.090444,392.6328571428571,86.04750000000001,0.52,215040,3317760,122880,ok
unet_conv_16_1280_1280,SD_UNet,late_down,conv,1 16 16 1280 1280 3 1 1,UNet late high-channel conv proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/unet_conv_16_1280_1280.log,1,294253,294253,313.0351063829787,108.73231,422.60100000000006,38.95533333333333,0.13,510800,8110080,62720,ok
attn_qkv_4096_320_320,SD_UNet_Attention,early_attn,gemm,4096 320 320,Attention QKV projection proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/attn_qkv_4096_320_320.log,1,34810,34810,37.03191489361702,18.970953,367.9275,59.317499999999995,4.76,50352,475136,323580,ok
attn_score_1024_64_1024,SD_UNet_Attention,mid_attn,gemm,1024 64 1024,Attention score GEMM proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/attn_score_1024_64_1024.log,1,13070,13070,13.904255319148936,9.315375,350.43,36.15,8.48,17468,49152,220406,ok
attn_softmax_1024_1024,SD_UNet_Attention,mid_attn,softmax,1024 1024,Attention softmax proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/attn_softmax_1024_1024.log,1,43587,43587,46.36914893617021,45.213539,368.726,0.0,57.71,63600,787712,229888,ok
vae_dec_conv_64_256_128,VAE_Decoder,decoder,conv,1 64 64 256 128 3 1 1,VAE decoder conv proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/vae_dec_conv_64_256_128.log,1,47318,47318,50.338297872340426,23.901136,423.64399999999995,78.072,1.26,80903,1123027,98112,ok
dit_qkv_256_768_768,DiT_B4,transformer,gemm,256 768 768,DiT projection proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/dit_qkv_256_768_768.log,1,10941,10941,11.63936170212766,10.724064,332.855,44.1,2.18,14543,197120,34784,ok
dit_mlp_256_768_3072,DiT_B4,transformer_mlp,gemm,256 768 3072,DiT MLP expansion proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/dit_mlp_256_768_3072.log,1,36396,36396,38.719148936170214,21.370079,329.03000000000003,58.739999999999995,2.28,46321,638976,101568,ok
dit_softmax_256_256,DiT_B4,transformer_attn,softmax,256 256,DiT attention softmax proxy,/root/autodl-tmp/torchsim_work/flood_results/logs/batch_ops/dit_softmax_256_256.log,1,4602,4602,4.895744680851064,13.424358,215.23,0.0,40.74,2058,24672,8256,ok
