case_id,golden_files,rtl_files,prepare_status,evidence_scope
calib_07_repeat,5,5,ready,server_rtl_repeatability_golden_vs_rtl
calib_08_repeat,5,5,ready,server_rtl_repeatability_golden_vs_rtl
calib_09_safe_tile,5,5,ready,server_rtl_repeatability_golden_vs_rtl
calib_10_safe_tile,5,5,ready,server_rtl_repeatability_golden_vs_rtl
