case_id,execution_status,golden_cycles,rtl_cycles,timing_repeat_status,golden_output_sha256,rtl_output_sha256,output_hash_status,ready_for_direct_paper_data,paper_data_blocker
calib_07_repeat,pass,133;133;133;133,133;133;133;133,pass,4ba997d7b4eff9cb2f0beb2ed4d013a8d3bfb5a8f6839871d50947917830b21c,4ba997d7b4eff9cb2f0beb2ed4d013a8d3bfb5a8f6839871d50947917830b21c,pass,no,repeatability_not_full_chip_independent_golden
calib_08_repeat,pass,133;133;133;133,133;133;133;133,pass,4ba997d7b4eff9cb2f0beb2ed4d013a8d3bfb5a8f6839871d50947917830b21c,4ba997d7b4eff9cb2f0beb2ed4d013a8d3bfb5a8f6839871d50947917830b21c,pass,no,repeatability_not_full_chip_independent_golden
calib_09_safe_tile,pass,133;133;133;133,133;133;133;133,pass,4ba997d7b4eff9cb2f0beb2ed4d013a8d3bfb5a8f6839871d50947917830b21c,4ba997d7b4eff9cb2f0beb2ed4d013a8d3bfb5a8f6839871d50947917830b21c,pass,no,repeatability_not_full_chip_independent_golden
calib_10_safe_tile,pass,133;133;133;133,133;133;133;133,pass,4ba997d7b4eff9cb2f0beb2ed4d013a8d3bfb5a8f6839871d50947917830b21c,4ba997d7b4eff9cb2f0beb2ed4d013a8d3bfb5a8f6839871d50947917830b21c,pass,no,repeatability_not_full_chip_independent_golden
