check,status,evidence
source_final_gate_exists,pass,rows=2
source_hash_matches_export_summary,pass,"summary=0ed4ccf5b2b0090f9cf112667c73582a1cd6b9c07a7c0827427d0b87a911875c, actual=0ed4ccf5b2b0090f9cf112667c73582a1cd6b9c07a7c0827427d0b87a911875c"
main_rows_are_exact_approved_set,pass,"exported=0, approved=0, extra=, missing="
no_rejected_rows_exported,pass,
rejected_file_matches_final_gate,pass,"rejected_file=2, final_rejected=2"
export_summary_counts_match_files,pass,"summary_exported=0, file_exported=0, summary_rejected=2, file_rejected=2"
hardware_signature_matches_final_gate,pass,"summary=566baa5411b356ed67c5572fb2231e100a1fa8e53bf07504edf503c7a1573108, actual=566baa5411b356ed67c5572fb2231e100a1fa8e53bf07504edf503c7a1573108"
