id,workload,stage,operator,shape_args,reason,log_file,num_simulations,total_cycles,max_cycles,latency_us,wall_clock_s,avg_dram_aggregate_gbps,avg_systolic_util_pct,avg_vector_util_pct,dma_active_cycles,dram_reads,dram_writes,status,dataset,rtl_compute_cycles,rtl_weight_load_cycles,rtl_activation_load_cycles,rtl_output_store_cycles,rtl_config_cycles,rtl_shift_add_cycles,rtl_noc_reduce_cycles,rtl_tile_output_transfer_cycles,rtl_output_arbiter_cycles,rtl_joint_sram_cycles,rtl_total_cycles,rtl_latency_us,rtl_useful_macs,rtl_padded_macs,rtl_compute_utilization,rtl_m_blocks,rtl_k_blocks,rtl_n_blocks,rtl_workmode_class,rtl_output_transfer_multiplier,rtl_model_note,rtl_speedup_vs_pytorchsim_baseline,pytorchsim_cycles,pytorchsim_latency_us,backend_scenario,shape_desc,max_expected_runtime_s,rtl_bringup_k,rtl_bringup_cout,rtl_bringup_group_size,rtl_bringup_cin_idx_total,rtl_bringup_spatial_points,rtl_bringup_final_run_cycles,rtl_bringup_nonfinal_run_cycles,rtl_bringup_per_spatial_cycles,rtl_bringup_total_cycles,rtl_bringup_latency_us,rtl_bringup_speedup_vs_pytorchsim,rtl_bringup_status,rtl_bringup_vs_old_model_ratio,group16_v5_k,group16_v5_cout,group16_v5_group_size,group16_v5_cin_idx_total,group16_v5_spatial_points,group16_v5_per_spatial_cycle_list,group16_v5_per_spatial_cycles,group16_v5_total_cycles,group16_v5_latency_us,group16_v5_speedup_vs_pytorchsim,group16_v5_vs_group4_bringup_ratio,group16_v5_rule_status,group16_v5_status,group16_v5_note,group16_v7_k,group16_v7_cout,group16_v7_cin_idx_total,group16_v7_spatial_points,group16_v7_per_spatial_cycle_list,group16_v7_per_spatial_cycles,group16_v7_total_cycles,group16_v7_latency_us,group16_v7_speedup_vs_pytorchsim,group16_v7_vs_group4_bringup_ratio,group16_v7_rule_status,group16_v7_status,group16_v7_adversarial_scope_status,group16_v7_adversarial_scope_note,group16_v7_note
trace_gemm_001,Synthetic_UNet2DCondition_trace,time_embedding.linear_1,gemm,1 64 256,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_001.log,1,623,623,0.6627659574468086,4.666201,120.9,0.16,2.57,157,2240,264,ok,synthetic_unet_trace,64,512,2,4,40,0,7,8,8,0,579,0.6159574468085106,16384,262144,0.0625,1,2,8,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",1.075993091537133,623.0,0.6627659574468086,current_rtl,Linear is mapped to GEMM M K N.,300,1,8,4,2,1,126.0,123.0,249.0,249.0,0.264894,2.502008,extrapolated_from_21_small_rtl_cases,0.430052,1,8,16,2,1,167.0;56.0,223.0,223.0,0.237234,2.793722,0.895582,group16_multicin_v5_validated,projection_group16_multicin_v5,calibrated projection; group16 spatial repetition still has RTL X issue,1,8,2,1,first_spatial=223.0;repeat_spatial=109.0;spatial_points=1,223.0,223.0,0.237234,2.793722,0.895582,k1_group16_spatial_reuse_v8,projection_from_k1_group16_v5_v6,B_direct_rtl_clean_workload_row,exact workload row directly RTL-clean; projection matched direct RTL,RTL-calibrated projection; full workload RTL validation not claimed
trace_gemm_002,Synthetic_UNet2DCondition_trace,time_embedding.linear_2,gemm,1 256 256,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_002.log,1,1101,1101,1.171276595744681,5.217135,252.44,0.18,1.45,579,8976,264,ok,synthetic_unet_trace,256,2048,8,4,40,0,7,8,8,0,2115,2.25,65536,1048576,0.0625,1,8,8,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.5205673758865248,1101.0,1.171276595744681,current_rtl,Linear is mapped to GEMM M K N.,300,1,8,4,8,1,126.0,123.0,987.0,987.0,1.05,1.115502,extrapolated_from_21_small_rtl_cases,0.466667,1,8,16,8,1,167.0;53.0;53.0;53.0;53.0;53.0;53.0;56.0,541.0,541.0,0.575532,2.03512,0.548126,group16_multicin_v5_validated,projection_group16_multicin_v5,calibrated projection; group16 spatial repetition still has RTL X issue,1,8,8,1,first_spatial=541.0;repeat_spatial=427.0;spatial_points=1,541.0,541.0,0.575532,2.03512,0.548126,k1_group16_spatial_reuse_v8,projection_from_k1_group16_v5_v6,B_direct_rtl_clean_workload_row,exact workload row directly RTL-clean; projection matched direct RTL,RTL-calibrated projection; full workload RTL validation not claimed
trace_conv_003,Synthetic_UNet2DCondition_trace,conv_in,conv,1 32 32 4 64 3 1 1,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_003.log,1,6118,6118,6.508510638297873,4.141812,71.01,75.32,2.75,1002,6250,8192,ok,synthetic_unet_trace,1024,72,1152,1024,34,256,64,256,4096,256,7138,7.593617021276596,2359296,4194304,0.5625,64,2,2,spatial_conv,2,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.8571028299243486,6118.0,6.508510638297873,current_rtl,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300,3,2,4,2,64,133.0,130.0,263.0,16832.0,17.906383,0.363474,extrapolated_from_21_small_rtl_cases,2.358083,3,2,16,2,64,53.0;56.0,109.0,6976.0,7.421277,0.877007,0.414449,group16_multicin_v5_validated,projection_uses_group16_v5_for_multicin_but_k3_group16_not_validated,calibrated projection; group16 spatial repetition still has RTL X issue,3,2,2,64,329.0;332.0,661.0,42304.0,45.004255,0.14462,2.513308,k3_group16_v7,projection_from_k3_group16_v7,C_projection_large_k3_extent_unvalidated,k3 rule-supported but workload extent exceeds direct-clean holdout range,RTL-calibrated projection; full workload RTL validation not claimed
trace_conv_004,Synthetic_UNet2DCondition_trace,down_blocks.0.resnets.0.conv1,conv,1 32 32 64 64 3 1 1,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_004.log,1,6796,6796,7.229787234042553,5.341181,172.46,67.8,2.18,2483,30771,8192,ok,synthetic_unet_trace,9216,1152,18432,1024,34,256,64,256,4096,256,24418,25.97659574468085,37748736,37748736,1.0,64,18,2,spatial_conv,2,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.2783192726677042,6796.0,7.229787234042553,current_rtl,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300,3,2,4,18,64,133.0,130.0,2343.0,149952.0,159.523404,0.045321,extrapolated_from_21_small_rtl_cases,6.141043,3,2,16,18,64,53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;56.0,957.0,61248.0,65.157447,0.110959,0.408451,group16_multicin_v5_validated,projection_uses_group16_v5_for_multicin_but_k3_group16_not_validated,calibrated projection; group16 spatial repetition still has RTL X issue,3,2,18,64,329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;332.0,5925.0,379200.0,403.404255,0.017922,2.528809,k3_group16_v7,projection_from_k3_group16_v7,C_projection_large_k3_extent_unvalidated,k3 rule-supported but workload extent exceeds direct-clean holdout range,RTL-calibrated projection; full workload RTL validation not claimed
trace_gemm_005,Synthetic_UNet2DCondition_trace,down_blocks.0.resnets.0.time_emb_proj,gemm,1 256 64,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_005.log,1,656,656,0.6978723404255319,4.472764,108.95,0.15,1.07,149,2312,64,ok,synthetic_unet_trace,64,512,8,1,34,0,1,2,2,0,552,0.5872340425531914,16384,262144,0.0625,1,8,2,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",1.1884057971014492,656.0,0.6978723404255319,current_rtl,Linear is mapped to GEMM M K N.,300,1,2,4,8,1,48.0,45.0,363.0,363.0,0.38617,1.807163,extrapolated_from_21_small_rtl_cases,0.657609,1,2,16,8,1,53.0;53.0;53.0;53.0;53.0;53.0;53.0;56.0,427.0,427.0,0.454255,1.5363,1.176309,group16_multicin_v5_validated,projection_group16_multicin_v5,calibrated projection; group16 spatial repetition still has RTL X issue,1,2,8,1,first_spatial=427.0;repeat_spatial=427.0;spatial_points=1,427.0,427.0,0.454255,1.5363,1.176309,k1_group16_spatial_reuse_v8,projection_from_k1_group16_v5_v6,B_direct_rtl_clean_workload_row,exact workload row directly RTL-clean; projection matched direct RTL,RTL-calibrated projection; full workload RTL validation not claimed
trace_conv_006,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.proj_in,conv,1 32 32 64 64 1 1 0,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_006.log,1,2117,2117,2.252127659574468,4.136857,247.35,24.185000000000002,7.27,1088,9216,8192,ok,synthetic_unet_trace,1024,128,2048,1024,34,0,64,128,2048,0,5346,5.687234042553191,4194304,4194304,1.0,64,2,2,pointwise_conv,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.3959970071081182,2117.0,2.252127659574468,current_rtl,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300,1,2,4,2,64,48.0,45.0,93.0,5952.0,6.331915,0.355679,extrapolated_from_21_small_rtl_cases,1.113356,1,2,16,2,64,53.0;56.0,109.0,6976.0,7.421277,0.303469,1.172043,group16_multicin_v5_validated,projection_group16_multicin_v5,calibrated projection; group16 spatial repetition still has RTL X issue,1,2,2,64,first_spatial=109.0;repeat_spatial=109.0;spatial_points=64,109.0,6976.0,7.421277,0.303469,1.172043,k1_group16_spatial_reuse_v8,projection_from_k1_group16_v5_v6,C_projection_large_spatial_extent_unvalidated,large spatial extent exceeds direct-clean workload range,RTL-calibrated projection; full workload RTL validation not claimed
trace_gemm_007,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,gemm,1024 64 64,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_007.log,1,1804,1804,1.9191489361702128,4.110266,290.26,28.38,8.09,1088,9216,8192,ok,synthetic_unet_trace,1024,128,2048,1024,34,0,1,128,2048,0,5283,5.620212765957447,4194304,4194304,1.0,64,2,2,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.34147264811660044,1804.0,1.9191489361702128,current_rtl,Linear is mapped to GEMM M K N.,300,1,2,4,2,64,48.0,45.0,93.0,5952.0,6.331915,0.303091,extrapolated_from_21_small_rtl_cases,1.126633,1,2,16,2,64,53.0;56.0,109.0,6976.0,7.421277,0.258601,1.172043,group16_multicin_v5_validated,projection_group16_multicin_v5,calibrated projection; group16 spatial repetition still has RTL X issue,1,2,2,64,first_spatial=109.0;repeat_spatial=109.0;spatial_points=64,109.0,6976.0,7.421277,0.258601,1.172043,k1_group16_spatial_reuse_v8,projection_from_k1_group16_v5_v6,C_projection_large_spatial_extent_unvalidated,large spatial extent exceeds direct-clean workload range,RTL-calibrated projection; full workload RTL validation not claimed
trace_gemm_008,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,gemm,77 768 64,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_008.log,1,1694,1694,1.8021276595744682,7.187293,258.25,13.635,1.59,909,13904,640,ok,synthetic_unet_trace,960,1536,1848,77,34,0,1,10,160,0,2130,2.265957446808511,3784704,3932160,0.9625,5,24,2,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.7953051643192488,1694.0,1.8021276595744682,current_rtl,Linear is mapped to GEMM M K N.,300,1,2,4,24,5,48.0,45.0,1083.0,5415.0,5.760638,0.312835,extrapolated_from_21_small_rtl_cases,2.542254,1,2,16,24,5,53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;56.0,1275.0,6375.0,6.781915,0.265725,1.177285,group16_multicin_v5_validated,projection_group16_multicin_v5,calibrated projection; group16 spatial repetition still has RTL X issue,1,2,24,5,first_spatial=1275.0;repeat_spatial=1275.0;spatial_points=5,1275.0,6375.0,6.781915,0.265725,1.177285,k1_group16_spatial_reuse_v8,projection_from_k1_group16_v5_v6,C_projection_small_extent_not_directly_run,formula-supported but this exact workload row was not directly RTL-run,RTL-calibrated projection; full workload RTL validation not claimed
trace_gemm_009,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,1024 64 512,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_009.log,1,6802,6802,7.236170212765957,6.745598,362.27,30.11,8.41,5120,16384,65536,ok,synthetic_unet_trace,8192,1024,2048,8192,48,0,15,1024,16384,0,33983,36.15212765957447,33554432,33554432,1.0,64,2,16,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.20015890298090222,6802.0,7.236170212765957,current_rtl,Linear is mapped to GEMM M K N.,300,1,16,4,2,64,230.0,227.0,457.0,29248.0,31.114894,0.232563,extrapolated_from_21_small_rtl_cases,0.860666,1,16,16,2,64,319.0;56.0,375.0,24000.0,25.531915,0.283417,0.820569,group16_multicin_v5_validated,projection_group16_multicin_v5,calibrated projection; group16 spatial repetition still has RTL X issue,1,16,2,64,first_spatial=375.0;repeat_spatial=109.0;spatial_points=64,113.1562,7242.0,7.704255,0.939243,0.247607,k1_group16_spatial_reuse_v8,projection_from_k1_group16_v5_v6,C_projection_large_spatial_extent_unvalidated,large spatial extent exceeds direct-clean workload range,RTL-calibrated projection; full workload RTL validation not claimed
trace_gemm_010,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,gemm,1024 256 64,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_010.log,1,3611,3611,3.8414893617021275,4.558707,375.32,28.36,4.04,2816,36864,8192,ok,synthetic_unet_trace,4096,512,8192,1024,34,0,1,128,2048,0,11427,12.156382978723403,16777216,16777216,1.0,64,8,2,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.3160059508182375,3611.0,3.8414893617021275,current_rtl,Linear is mapped to GEMM M K N.,300,1,2,4,8,64,48.0,45.0,363.0,23232.0,24.714894,0.155432,extrapolated_from_21_small_rtl_cases,2.03308,1,2,16,8,64,53.0;53.0;53.0;53.0;53.0;53.0;53.0;56.0,427.0,27328.0,29.07234,0.132136,1.176309,group16_multicin_v5_validated,projection_group16_multicin_v5,calibrated projection; group16 spatial repetition still has RTL X issue,1,2,8,64,first_spatial=427.0;repeat_spatial=427.0;spatial_points=64,427.0,27328.0,29.07234,0.132136,1.176309,k1_group16_spatial_reuse_v8,projection_from_k1_group16_v5_v6,C_projection_large_spatial_extent_unvalidated,large spatial extent exceeds direct-clean workload range,RTL-calibrated projection; full workload RTL validation not claimed
trace_conv_011,Synthetic_UNet2DCondition_trace,down_blocks.0.downsamplers.0.conv,conv,1 32 32 64 64 3 2 1,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_011.log,1,2745,2745,2.9202127659574466,4.80463,223.37,41.97,1.46,1274,18336,2048,ok,synthetic_unet_trace,2304,1152,4608,256,34,64,16,64,1024,64,6130,6.5212765957446805,9437184,9437184,1.0,16,18,2,spatial_conv,2,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.44779771615008157,2745.0,2.9202127659574466,current_rtl,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300,3,2,4,18,16,133.0,130.0,2343.0,37488.0,39.880851,0.073223,extrapolated_from_21_small_rtl_cases,6.115498,3,2,16,18,16,53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;56.0,957.0,15312.0,16.289362,0.179271,0.408451,group16_multicin_v5_validated,projection_uses_group16_v5_for_multicin_but_k3_group16_not_validated,calibrated projection; group16 spatial repetition still has RTL X issue,3,2,18,16,329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;332.0,5925.0,94800.0,100.851064,0.028956,2.528809,k3_group16_v7,projection_from_k3_group16_v7,C_projection_large_k3_extent_unvalidated,k3 rule-supported but workload extent exceeds direct-clean holdout range,RTL-calibrated projection; full workload RTL validation not claimed
trace_conv_012,Synthetic_UNet2DCondition_trace,down_blocks.1.resnets.0.conv1,conv,1 16 16 64 64 3 1 1,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_012.log,1,2292,2292,2.4382978723404256,4.002531,178.42,50.260000000000005,1.75,875,11547,2048,ok,synthetic_unet_trace,2304,1152,4608,256,34,64,16,64,1024,64,6130,6.5212765957446805,9437184,9437184,1.0,16,18,2,spatial_conv,2,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.3738988580750408,2292.0,2.4382978723404256,current_rtl,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300,3,2,4,18,16,133.0,130.0,2343.0,37488.0,39.880851,0.06114,extrapolated_from_21_small_rtl_cases,6.115498,3,2,16,18,16,53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;56.0,957.0,15312.0,16.289362,0.149687,0.408451,group16_multicin_v5_validated,projection_uses_group16_v5_for_multicin_but_k3_group16_not_validated,calibrated projection; group16 spatial repetition still has RTL X issue,3,2,18,16,329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;332.0,5925.0,94800.0,100.851064,0.024177,2.528809,k3_group16_v7,projection_from_k3_group16_v7,C_projection_large_k3_extent_unvalidated,k3 rule-supported but workload extent exceeds direct-clean holdout range,RTL-calibrated projection; full workload RTL validation not claimed
trace_conv_013,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.proj_in,conv,1 16 16 64 64 1 1 0,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_013.log,1,999,999,1.0627659574468085,3.440178,156.09,12.81,4.8,324,3072,2112,ok,synthetic_unet_trace,256,128,512,256,34,0,16,32,512,0,1362,1.4489361702127659,1048576,1048576,1.0,16,2,2,pointwise_conv,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.7334801762114538,999.0,1.0627659574468085,current_rtl,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300,1,2,4,2,16,48.0,45.0,93.0,1488.0,1.582979,0.671371,extrapolated_from_21_small_rtl_cases,1.092511,1,2,16,2,16,53.0;56.0,109.0,1744.0,1.855319,0.572821,1.172043,group16_multicin_v5_validated,projection_group16_multicin_v5,calibrated projection; group16 spatial repetition still has RTL X issue,1,2,2,16,first_spatial=109.0;repeat_spatial=109.0;spatial_points=16,109.0,1744.0,1.855319,0.572821,1.172043,k1_group16_spatial_reuse_v8,projection_from_k1_group16_v5_v6,B_direct_rtl_clean_workload_row,exact workload row directly RTL-clean; projection matched direct RTL,RTL-calibrated projection; full workload RTL validation not claimed
trace_gemm_014,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,gemm,256 64 64,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_014.log,1,940,940,1.0,4.608492,147.46,13.62,4.26,288,2560,2048,ok,synthetic_unet_trace,256,128,512,256,34,0,1,32,512,0,1347,1.4329787234042553,1048576,1048576,1.0,16,2,2,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.6978470675575352,940.0,1.0,current_rtl,Linear is mapped to GEMM M K N.,300,1,2,4,2,16,48.0,45.0,93.0,1488.0,1.582979,0.63172,extrapolated_from_21_small_rtl_cases,1.104677,1,2,16,2,16,53.0;56.0,109.0,1744.0,1.855319,0.538991,1.172043,group16_multicin_v5_validated,projection_group16_multicin_v5,calibrated projection; group16 spatial repetition still has RTL X issue,1,2,2,16,first_spatial=109.0;repeat_spatial=109.0;spatial_points=16,109.0,1744.0,1.855319,0.538991,1.172043,k1_group16_spatial_reuse_v8,projection_from_k1_group16_v5_v6,B_direct_rtl_clean_workload_row,exact workload row directly RTL-clean; projection matched direct RTL,RTL-calibrated projection; full workload RTL validation not claimed
trace_gemm_015,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,256 64 512,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_015.log,1,2131,2131,2.2670212765957447,6.087452,346.9,24.03,6.76,1536,8192,16384,ok,synthetic_unet_trace,2048,1024,512,2048,48,0,15,256,4096,0,8639,9.190425531914894,8388608,8388608,1.0,16,2,16,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.24667206852644982,2131.0,2.2670212765957447,current_rtl,Linear is mapped to GEMM M K N.,300,1,16,4,2,16,230.0,227.0,457.0,7312.0,7.778723,0.291439,extrapolated_from_21_small_rtl_cases,0.846394,1,16,16,2,16,319.0;56.0,375.0,6000.0,6.382979,0.355167,0.820569,group16_multicin_v5_validated,projection_group16_multicin_v5,calibrated projection; group16 spatial repetition still has RTL X issue,1,16,2,16,first_spatial=375.0;repeat_spatial=109.0;spatial_points=16,125.625,2010.0,2.138298,1.060199,0.274891,k1_group16_spatial_reuse_v8,projection_from_k1_group16_v5_v6,B_direct_rtl_clean_workload_row,exact workload row directly RTL-clean; projection matched direct RTL,RTL-calibrated projection; full workload RTL validation not claimed
trace_gemm_016,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.2,gemm,256 256 64,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_016.log,1,1513,1513,1.6095744680851063,5.852205,249.39,16.92,3.57,784,10496,2048,ok,synthetic_unet_trace,1024,512,2048,256,34,0,1,32,512,0,2883,3.0670212765957445,4194304,4194304,1.0,16,8,2,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.524800554977454,1513.0,1.6095744680851063,current_rtl,Linear is mapped to GEMM M K N.,300,1,2,4,8,16,48.0,45.0,363.0,5808.0,6.178723,0.260503,extrapolated_from_21_small_rtl_cases,2.014568,1,2,16,8,16,53.0;53.0;53.0;53.0;53.0;53.0;53.0;56.0,427.0,6832.0,7.268085,0.221458,1.176309,group16_multicin_v5_validated,projection_group16_multicin_v5,calibrated projection; group16 spatial repetition still has RTL X issue,1,2,8,16,first_spatial=427.0;repeat_spatial=427.0;spatial_points=16,427.0,6832.0,7.268085,0.221458,1.176309,k1_group16_spatial_reuse_v8,projection_from_k1_group16_v5_v6,C_projection_small_extent_not_directly_run,formula-supported but this exact workload row was not directly RTL-run,RTL-calibrated projection; full workload RTL validation not claimed
trace_conv_017,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv1,conv,1 16 16 128 64 3 1 1,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_017.log,1,2877,2877,3.0606382978723405,4.359859,262.3,40.04,1.18,1568,23040,2048,ok,synthetic_unet_trace,4608,2304,9216,256,34,64,16,64,1024,64,10738,11.423404255319149,18874368,18874368,1.0,16,36,2,spatial_conv,2,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.26792698826597133,2877.0,3.0606382978723405,current_rtl,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300,3,2,4,36,16,133.0,130.0,4683.0,74928.0,79.710638,0.038397,extrapolated_from_21_small_rtl_cases,6.977836,3,2,16,36,16,53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;53.0;56.0,1911.0,30576.0,32.52766,0.094093,0.408072,group16_multicin_v5_validated,projection_uses_group16_v5_for_multicin_but_k3_group16_not_validated,calibrated projection; group16 spatial repetition still has RTL X issue,3,2,36,16,329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;332.0,11847.0,189552.0,201.651064,0.015178,2.529789,k3_group16_v7,projection_from_k3_group16_v7,C_projection_large_k3_extent_unvalidated,k3 rule-supported but workload extent exceeds direct-clean holdout range,RTL-calibrated projection; full workload RTL validation not claimed
trace_conv_018,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv_shortcut,conv,1 16 16 128 64 1 1 0,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_018.log,1,1120,1120,1.1914893617021276,3.478541,192.51,11.43,3.04,448,5120,2048,ok,synthetic_unet_trace,512,256,1024,256,34,0,16,32,512,0,1874,1.9936170212765958,2097152,2097152,1.0,16,4,2,pointwise_conv,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.5976520811099253,1120.0,1.1914893617021276,current_rtl,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300,1,2,4,4,16,48.0,45.0,183.0,2928.0,3.114894,0.382514,extrapolated_from_21_small_rtl_cases,1.562433,1,2,16,4,16,53.0;53.0;53.0;56.0,215.0,3440.0,3.659574,0.325581,1.174863,group16_multicin_v5_validated,projection_group16_multicin_v5,calibrated projection; group16 spatial repetition still has RTL X issue,1,2,4,16,first_spatial=215.0;repeat_spatial=215.0;spatial_points=16,215.0,3440.0,3.659574,0.325581,1.174863,k1_group16_spatial_reuse_v8,projection_from_k1_group16_v5_v6,D_direct_rtl_blocked,direct RTL attempt observed Cluster/Router/Output X; invalid as clean workload evidence,RTL-calibrated projection; full workload RTL validation not claimed
