dataset,operator,num_rows,baseline_total_cycles,rtl_total_cycles,rtl_latency_us,speedup_vs_pytorchsim,weighted_compute_utilization
synthetic_unet_trace,conv,11,41517,134341,142.9159574468085,0.3090419157219315,0.9033149171270718
synthetic_unet_trace,gemm,10,20875,68938,73.33829787234042,0.30280832051988743,0.9779804270462633
workload_v1,conv,4,665734,3317962,3529.7468085106384,0.20064545645791002,1.0
workload_v1,gemm,4,95217,467944,497.8127659574468,0.20347947617663653,1.0
