case,k,cout,group_size,group_num,cin_idx_total,res_cols,res_rows,run_count,total_cycles,x_count,cluster_x,router_read_x,router_write_x,output_read_x,status,source_log,note
clean_reference_ci2_conv013,1,2,16,1,2,2,8,32,1744,0,0,0,0,0,rtl_clean_direct,logs/wd_trace_conv_013.log,exact workload row clean at cin=2 spatial=16
boundary_c2_ci3_rc2_rr8,1,2,16,1,3,2,8,48,2592,1103,32,15,32,2047,blocked_x_with_matching_cycles,logs/boundary_g16_c2_ci3_rc2_rr8.log,cycle list matched 53;53;56 repeated but output validity failed
blocked_trace_conv_018_ci4,1,2,16,1,4,2,8,64,3440,1136,64,31,64,2079,blocked_x_with_matching_cycles,logs/wd_trace_conv_018.log,exact workload row matched cycles but output validity failed
blocked_trace_gemm_016_ci8,1,2,16,1,8,2,8,128,6832,1264,192,159,192,2207,blocked_x_with_matching_cycles,logs/wd_trace_gemm_016.log,exact workload row matched cycles but output validity failed
