step,returncode,status,command,message
manifest_check,0,pass,C:\Users\98676\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe flood_local\check_rtl_task_manifest.py --task-csv results\flood_cycle_sim_v1\completed_ingest_smoke_inputs\task_manifest.csv --system-manifest results\flood_cycle_sim_v1\completed_ingest_smoke_inputs\system_manifest.csv --value-manifest results\flood_cycle_sim_v1\completed_ingest_smoke_inputs\value_manifest.csv --out-dir results\flood_cycle_sim_v1\completed_ingest_smoke\manifest_check,
manifest_ready_gate,0,pass,,"checked_tasks=1, ready_for_gate_ingestion=1"
system_calibration_batch,0,pass,C:\Users\98676\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe flood_local\run_system_calibration_batch.py --manifest results\flood_cycle_sim_v1\completed_ingest_smoke_inputs\system_manifest.csv --out-root results\flood_cycle_sim_v1\completed_ingest_smoke\system_batch,
value_check_batch,0,pass,C:\Users\98676\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe flood_local\run_value_check_batch.py --manifest results\flood_cycle_sim_v1\completed_ingest_smoke_inputs\value_manifest.csv --out-root results\flood_cycle_sim_v1\completed_ingest_smoke\value_batch,
final_paper_data_gate,0,pass,C:\Users\98676\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe flood_local\build_paper_data_gate.py --manifest results\flood_cycle_sim_v1\completed_ingest_smoke_inputs\paper_gate_manifest.csv --workload-gate results\flood_cycle_sim_v1\batch_smoke\batch_readiness_summary.csv --value-gate results\flood_cycle_sim_v1\completed_ingest_smoke\value_batch\value_readiness_summary.csv --system-gate results\flood_cycle_sim_v1\completed_ingest_smoke\system_batch\calibration_readiness_summary.csv --rtl-source-summary results\flood_cycle_sim_v1\rtl_source_manifest\rtl_source_summary.csv --out-dir results\flood_cycle_sim_v1\completed_ingest_smoke\final_gate,
main_figure_export,0,pass,C:\Users\98676\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe flood_local\export_main_figure_package.py --final-gate results\flood_cycle_sim_v1\completed_ingest_smoke\final_gate\final_paper_data_gate.csv --out-dir results\flood_cycle_sim_v1\completed_ingest_smoke\main_figure_export,
