model,architecture_type,config,rows,throughput_rows_per_s,latency_cycles,latency_us,energy,psnr_ssim,generation_quality,speedup_vs_pytorchsim,data_source,missing_reason
DiT / attention proxy,DiT,D_direct_rtl_blocked,1,124569.308243,7546.0,8.02766,MISSING,MISSING,MISSING,1.732043,blocked/excluded diagnostic,quality and energy metrics require image-quality and energy runners
DiT / attention proxy,DiT,D_excluded,2,MISSING,0.0,MISSING,MISSING,MISSING,MISSING,MISSING,blocked/excluded diagnostic,quality and energy metrics require image-quality and energy runners
DiT / attention proxy,DiT,D_observed_multicin_spatial_x_boundary,3,5233.736442,179604.0,191.068085,MISSING,MISSING,MISSING,0.457378,blocked/excluded diagnostic,quality and energy metrics require image-quality and energy runners
SD UNet / synthetic UNet trace,LDM,B_direct_rtl_clean_workload_row,6,140529.227089,6689.0,7.115957,MISSING,MISSING,MISSING,0.96427,direct RTL-clean + PyTorchSim baseline,quality and energy metrics require image-quality and energy runners
SD UNet / synthetic UNet trace,LDM,C_projection_large_k3_extent_unvalidated,10,8.97055,104787328.0,111475.880851,MISSING,MISSING,MISSING,0.006236,RTL-calibrated projection + PyTorchSim baseline,quality and energy metrics require image-quality and energy runners
SD UNet / synthetic UNet trace,LDM,D_direct_rtl_blocked,4,39791.7284,23623.0,25.130851,MISSING,MISSING,MISSING,0.259535,blocked/excluded diagnostic,quality and energy metrics require image-quality and energy runners
SD UNet / synthetic UNet trace,LDM,D_observed_large_spatial_x_boundary,2,66113.377409,14218.0,15.125532,MISSING,MISSING,MISSING,0.627303,blocked/excluded diagnostic,quality and energy metrics require image-quality and energy runners
SD UNet / synthetic UNet trace,LDM,D_observed_multicin_spatial_x_boundary,2,22877.725857,41088.0,43.710638,MISSING,MISSING,MISSING,0.141574,blocked/excluded diagnostic,quality and energy metrics require image-quality and energy runners
SD VAE,LDM,C_projection_large_k3_extent_unvalidated,1,81.853697,11483904.0,12216.919149,MISSING,MISSING,MISSING,0.00412,RTL-calibrated projection + PyTorchSim baseline,quality and energy metrics require image-quality and energy runners
