parameter,current_value,suggested_value,unit,fit_status,fit_basis
system_model_name,smoke_loaded_system_model,smoke_loaded_system_model_fitted,,suggestion_from_measured_phase_cycles,"phase-level measured cycles, not system-total residual forcing"
dma_data_bytes,8,8,bytes,kept_from_active_model,"interface width should come from RTL, not fitted from timing"
dma_maxburst,7,7,beats,kept_from_active_model,burst policy should be verified from DMA RTL/testbench
dma_fsm_overhead_cycles,4,4,cycles,suggestion_from_measured_phase_cycles,dma_phase_samples=6
dma_burst_overhead_cycles,2,2,cycles/burst,suggestion_from_measured_phase_cycles,dma_phase_samples=6
cpu_config_write_cycles,1,1,cycles/write,suggestion_from_measured_phase_cycles,config_phase_samples=2
mac_config_writes,3,3,writes,kept_from_active_model,configuration sequence count should come from RTL/software driver
system_model_status,full_chip_rtl_calibrated_smoke,candidate_fitted_from_system_calibration,,suggestion_from_measured_phase_cycles,rows=2; measured_phase_samples=6
system_model_note,Loaded from system_calibration_smoke/system_model_input.csv,Candidate fitted from results\flood_cycle_sim_v1\system_calibration_smoke\system_calibration_input.csv,,suggestion_from_measured_phase_cycles,Must be re-run through --system-calibration before any paper main-table use.
