dataset,operator,num_rows,baseline_total_cycles,rtl_total_cycles,rtl_latency_us,speedup_vs_pytorchsim,weighted_compute_utilization
synthetic_unet_trace,conv,11,41517,115781,123.17127659574469,0.35858215078467104,0.9033149171270718
synthetic_unet_trace,gemm,10,20875,54418,57.89148936170213,0.3836046896247565,0.9779804270462633
workload_v1,conv,4,665734,3163850,3365.7978723404253,0.21041895159378604,1.0
workload_v1,gemm,4,95217,409192,435.31063829787234,0.23269516510586719,1.0
