workload_id,value_check_status,compared_values,num_mismatches,repeat_value_policy,ready_for_direct_paper_data,paper_data_blocker
calib_07_repeat,pass,1152,0,repeatability_pass,no,golden_is_prior_rtl_repeat_not_independent_software_reference
calib_08_repeat,pass,1152,0,repeatability_pass,no,golden_is_prior_rtl_repeat_not_independent_software_reference
calib_09_safe_tile,pass,1152,0,repeatability_pass,no,golden_is_prior_rtl_repeat_not_independent_software_reference
calib_10_safe_tile,pass,1152,0,repeatability_pass,no,golden_is_prior_rtl_repeat_not_independent_software_reference
