dataset,id,workload,stage,operator,shape_args,scenario,pytorchsim_cycles,pytorchsim_latency_us,peak_scale_vs_current_rtl,note,compute_cycles,weight_load_cycles,activation_load_cycles,output_store_cycles,metadata_cycles,outlier_cycles,shift_add_cycles,noc_reduce_cycles,tile_output_transfer_cycles,output_arbiter_cycles,joint_sram_cycles,total_cycles,flood_cycles,flood_latency_us,speedup_vs_pytorchsim,compute_utilization
synthetic_unet_trace,trace_gemm_010,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,gemm,1024 256 64,flood_conservative,3611.0,3.8414893617021275,8.0,equal peak + conservative FLOOD dataflow/sparsity assumptions,460.8,54.4,870.4,108.8,26.112,17.408,0.0,0.125,13.6,217.6,0.0,1264.045,1264.045,1.344729,2.856702,1.0
synthetic_unet_trace,trace_gemm_010,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,gemm,1024 256 64,flood_main,3611.0,3.8414893617021275,8.0,equal peak + main FLOOD paper-level assumptions,384.0,48.0,768.0,96.0,30.72,15.36,0.0,0.125,12.0,192.0,0.0,1124.205,1124.205,1.195963,3.212048,1.0
synthetic_unet_trace,trace_gemm_010,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,gemm,1024 256 64,flood_aggressive,3611.0,3.8414893617021275,8.0,equal peak + aggressive sensitivity assumptions,307.2,41.6,665.6,83.2,33.28,19.968,0.0,0.125,10.4,166.4,0.0,990.973,990.973,1.054227,3.643893,1.0
synthetic_unet_trace,trace_conv_011,Synthetic_UNet2DCondition_trace,down_blocks.0.downsamplers.0.conv,conv,1 32 32 64 64 3 2 1,current_rtl,2745.0,2.9202127659574466,8.0,current visible FLOOD RTL scale,2304.0,1152.0,4608.0,256.0,0.0,0.0,64.0,16.0,64.0,1024.0,64.0,6130.0,6130.0,6.521277,0.447798,1.0
synthetic_unet_trace,trace_conv_011,Synthetic_UNet2DCondition_trace,down_blocks.0.downsamplers.0.conv,conv,1 32 32 64 64 3 2 1,equal_peak_dense,2745.0,2.9202127659574466,8.0,equal peak MAC/cycle normalization only,288.0,144.0,576.0,32.0,0.0,0.0,8.0,2.0,8.0,128.0,8.0,762.0,762.0,0.810638,3.602362,1.0
synthetic_unet_trace,trace_conv_011,Synthetic_UNet2DCondition_trace,down_blocks.0.downsamplers.0.conv,conv,1 32 32 64 64 3 2 1,flood_conservative,2745.0,2.9202127659574466,8.0,equal peak + conservative FLOOD dataflow/sparsity assumptions,259.2,122.4,489.6,27.2,14.688,9.792,8.0,2.0,6.8,108.8,6.8,683.68,683.68,0.727319,4.015036,1.0
synthetic_unet_trace,trace_conv_011,Synthetic_UNet2DCondition_trace,down_blocks.0.downsamplers.0.conv,conv,1 32 32 64 64 3 2 1,flood_main,2745.0,2.9202127659574466,8.0,equal peak + main FLOOD paper-level assumptions,216.0,108.0,432.0,24.0,17.28,8.64,8.0,2.0,6.0,96.0,6.0,609.92,609.92,0.648851,4.50059,1.0
synthetic_unet_trace,trace_conv_011,Synthetic_UNet2DCondition_trace,down_blocks.0.downsamplers.0.conv,conv,1 32 32 64 64 3 2 1,flood_aggressive,2745.0,2.9202127659574466,8.0,equal peak + aggressive sensitivity assumptions,172.8,93.6,374.4,20.8,18.72,11.232,8.0,2.0,5.2,83.2,5.2,540.752,540.752,0.575268,5.076264,1.0
synthetic_unet_trace,trace_conv_012,Synthetic_UNet2DCondition_trace,down_blocks.1.resnets.0.conv1,conv,1 16 16 64 64 3 1 1,current_rtl,2292.0,2.4382978723404256,8.0,current visible FLOOD RTL scale,2304.0,1152.0,4608.0,256.0,0.0,0.0,64.0,16.0,64.0,1024.0,64.0,6130.0,6130.0,6.521277,0.373899,1.0
synthetic_unet_trace,trace_conv_012,Synthetic_UNet2DCondition_trace,down_blocks.1.resnets.0.conv1,conv,1 16 16 64 64 3 1 1,equal_peak_dense,2292.0,2.4382978723404256,8.0,equal peak MAC/cycle normalization only,288.0,144.0,576.0,32.0,0.0,0.0,8.0,2.0,8.0,128.0,8.0,762.0,762.0,0.810638,3.007874,1.0
synthetic_unet_trace,trace_conv_012,Synthetic_UNet2DCondition_trace,down_blocks.1.resnets.0.conv1,conv,1 16 16 64 64 3 1 1,flood_conservative,2292.0,2.4382978723404256,8.0,equal peak + conservative FLOOD dataflow/sparsity assumptions,259.2,122.4,489.6,27.2,14.688,9.792,8.0,2.0,6.8,108.8,6.8,683.68,683.68,0.727319,3.352446,1.0
synthetic_unet_trace,trace_conv_012,Synthetic_UNet2DCondition_trace,down_blocks.1.resnets.0.conv1,conv,1 16 16 64 64 3 1 1,flood_main,2292.0,2.4382978723404256,8.0,equal peak + main FLOOD paper-level assumptions,216.0,108.0,432.0,24.0,17.28,8.64,8.0,2.0,6.0,96.0,6.0,609.92,609.92,0.648851,3.75787,1.0
synthetic_unet_trace,trace_conv_012,Synthetic_UNet2DCondition_trace,down_blocks.1.resnets.0.conv1,conv,1 16 16 64 64 3 1 1,flood_aggressive,2292.0,2.4382978723404256,8.0,equal peak + aggressive sensitivity assumptions,172.8,93.6,374.4,20.8,18.72,11.232,8.0,2.0,5.2,83.2,5.2,540.752,540.752,0.575268,4.238542,1.0
synthetic_unet_trace,trace_conv_013,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.proj_in,conv,1 16 16 64 64 1 1 0,current_rtl,999.0,1.0627659574468085,8.0,current visible FLOOD RTL scale,256.0,128.0,512.0,256.0,0.0,0.0,0.0,16.0,32.0,512.0,0.0,1362.0,1362.0,1.448936,0.73348,1.0
synthetic_unet_trace,trace_conv_013,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.proj_in,conv,1 16 16 64 64 1 1 0,equal_peak_dense,999.0,1.0627659574468085,8.0,equal peak MAC/cycle normalization only,32.0,16.0,64.0,32.0,0.0,0.0,0.0,2.0,4.0,64.0,0.0,166.0,166.0,0.176596,6.018072,1.0
synthetic_unet_trace,trace_conv_013,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.proj_in,conv,1 16 16 64 64 1 1 0,flood_conservative,999.0,1.0627659574468085,8.0,equal peak + conservative FLOOD dataflow/sparsity assumptions,28.8,13.6,54.4,27.2,1.632,1.088,0.0,2.0,3.4,54.4,0.0,154.12,154.12,0.163957,6.481962,1.0
synthetic_unet_trace,trace_conv_013,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.proj_in,conv,1 16 16 64 64 1 1 0,flood_main,999.0,1.0627659574468085,8.0,equal peak + main FLOOD paper-level assumptions,24.0,12.0,48.0,24.0,1.92,0.96,0.0,2.0,3.0,48.0,0.0,137.88,137.88,0.146681,7.245431,1.0
synthetic_unet_trace,trace_conv_013,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.proj_in,conv,1 16 16 64 64 1 1 0,flood_aggressive,999.0,1.0627659574468085,8.0,equal peak + aggressive sensitivity assumptions,19.2,10.4,41.6,20.8,2.08,1.248,0.0,2.0,2.6,41.6,0.0,123.928,123.928,0.131838,8.061132,1.0
synthetic_unet_trace,trace_gemm_014,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,gemm,256 64 64,current_rtl,940.0,1.0,8.0,current visible FLOOD RTL scale,256.0,128.0,512.0,256.0,0.0,0.0,0.0,1.0,32.0,512.0,0.0,1347.0,1347.0,1.432979,0.697847,1.0
synthetic_unet_trace,trace_gemm_014,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,gemm,256 64 64,equal_peak_dense,940.0,1.0,8.0,equal peak MAC/cycle normalization only,32.0,16.0,64.0,32.0,0.0,0.0,0.0,0.125,4.0,64.0,0.0,164.125,164.125,0.174601,5.727342,1.0
synthetic_unet_trace,trace_gemm_014,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,gemm,256 64 64,flood_conservative,940.0,1.0,8.0,equal peak + conservative FLOOD dataflow/sparsity assumptions,28.8,13.6,54.4,27.2,1.632,1.088,0.0,0.125,3.4,54.4,0.0,152.245,152.245,0.161963,6.174259,1.0
synthetic_unet_trace,trace_gemm_014,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,gemm,256 64 64,flood_main,940.0,1.0,8.0,equal peak + main FLOOD paper-level assumptions,24.0,12.0,48.0,24.0,1.92,0.96,0.0,0.125,3.0,48.0,0.0,136.005,136.005,0.144686,6.911511,1.0
synthetic_unet_trace,trace_gemm_014,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,gemm,256 64 64,flood_aggressive,940.0,1.0,8.0,equal peak + aggressive sensitivity assumptions,19.2,10.4,41.6,20.8,2.08,1.248,0.0,0.125,2.6,41.6,0.0,122.053,122.053,0.129844,7.701572,1.0
synthetic_unet_trace,trace_gemm_015,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,256 64 512,current_rtl,2131.0,2.2670212765957447,8.0,current visible FLOOD RTL scale,2048.0,1024.0,512.0,2048.0,0.0,0.0,0.0,15.0,256.0,4096.0,0.0,8639.0,8639.0,9.190426,0.246672,1.0
synthetic_unet_trace,trace_gemm_015,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,256 64 512,equal_peak_dense,2131.0,2.2670212765957447,8.0,equal peak MAC/cycle normalization only,256.0,128.0,64.0,256.0,0.0,0.0,0.0,1.875,32.0,512.0,0.0,1057.875,1057.875,1.125399,2.014416,1.0
synthetic_unet_trace,trace_gemm_015,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,256 64 512,flood_conservative,2131.0,2.2670212765957447,8.0,equal peak + conservative FLOOD dataflow/sparsity assumptions,230.4,108.8,54.4,217.6,6.912,4.608,0.0,1.875,27.2,435.2,0.0,933.795,933.795,0.993399,2.282085,1.0
synthetic_unet_trace,trace_gemm_015,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,256 64 512,flood_main,2131.0,2.2670212765957447,8.0,equal peak + main FLOOD paper-level assumptions,192.0,96.0,48.0,192.0,7.68,3.84,0.0,1.875,24.0,384.0,0.0,815.395,815.395,0.867441,2.613457,1.0
synthetic_unet_trace,trace_gemm_015,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,256 64 512,flood_aggressive,2131.0,2.2670212765957447,8.0,equal peak + aggressive sensitivity assumptions,153.6,83.2,41.6,166.4,7.68,4.608,0.0,1.875,20.8,332.8,0.0,699.763,699.763,0.744429,3.045317,1.0
synthetic_unet_trace,trace_gemm_016,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.2,gemm,256 256 64,current_rtl,1513.0,1.6095744680851063,8.0,current visible FLOOD RTL scale,1024.0,512.0,2048.0,256.0,0.0,0.0,0.0,1.0,32.0,512.0,0.0,2883.0,2883.0,3.067021,0.524801,1.0
synthetic_unet_trace,trace_gemm_016,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.2,gemm,256 256 64,equal_peak_dense,1513.0,1.6095744680851063,8.0,equal peak MAC/cycle normalization only,128.0,64.0,256.0,32.0,0.0,0.0,0.0,0.125,4.0,64.0,0.0,356.125,356.125,0.378856,4.248508,1.0
synthetic_unet_trace,trace_gemm_016,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.2,gemm,256 256 64,flood_conservative,1513.0,1.6095744680851063,8.0,equal peak + conservative FLOOD dataflow/sparsity assumptions,115.2,54.4,217.6,27.2,6.528,4.352,0.0,0.125,3.4,54.4,0.0,323.605,323.605,0.344261,4.675453,1.0
synthetic_unet_trace,trace_gemm_016,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.2,gemm,256 256 64,flood_main,1513.0,1.6095744680851063,8.0,equal peak + main FLOOD paper-level assumptions,96.0,48.0,192.0,24.0,7.68,3.84,0.0,0.125,3.0,48.0,0.0,288.645,288.645,0.307069,5.241733,1.0
synthetic_unet_trace,trace_gemm_016,Synthetic_UNet2DCondition_trace,mid_block.attentions.0.transformer_blocks.0.ff.net.2,gemm,256 256 64,flood_aggressive,1513.0,1.6095744680851063,8.0,equal peak + aggressive sensitivity assumptions,76.8,41.6,166.4,20.8,8.32,4.992,0.0,0.125,2.6,41.6,0.0,256.837,256.837,0.273231,5.890896,1.0
synthetic_unet_trace,trace_conv_017,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv1,conv,1 16 16 128 64 3 1 1,current_rtl,2877.0,3.0606382978723405,8.0,current visible FLOOD RTL scale,4608.0,2304.0,9216.0,256.0,0.0,0.0,64.0,16.0,64.0,1024.0,64.0,10738.0,10738.0,11.423404,0.267927,1.0
synthetic_unet_trace,trace_conv_017,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv1,conv,1 16 16 128 64 3 1 1,equal_peak_dense,2877.0,3.0606382978723405,8.0,equal peak MAC/cycle normalization only,576.0,288.0,1152.0,32.0,0.0,0.0,8.0,2.0,8.0,128.0,8.0,1338.0,1338.0,1.423404,2.150224,1.0
synthetic_unet_trace,trace_conv_017,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv1,conv,1 16 16 128 64 3 1 1,flood_conservative,2877.0,3.0606382978723405,8.0,equal peak + conservative FLOOD dataflow/sparsity assumptions,518.4,244.8,979.2,27.2,29.376,19.584,8.0,2.0,6.8,108.8,6.8,1197.76,1197.76,1.274213,2.401984,1.0
synthetic_unet_trace,trace_conv_017,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv1,conv,1 16 16 128 64 3 1 1,flood_main,2877.0,3.0606382978723405,8.0,equal peak + main FLOOD paper-level assumptions,432.0,216.0,864.0,24.0,34.56,17.28,8.0,2.0,6.0,96.0,6.0,1067.84,1067.84,1.136,2.694224,1.0
synthetic_unet_trace,trace_conv_017,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv1,conv,1 16 16 128 64 3 1 1,flood_aggressive,2877.0,3.0606382978723405,8.0,equal peak + aggressive sensitivity assumptions,345.6,187.2,748.8,20.8,37.44,22.464,8.0,2.0,5.2,83.2,5.2,945.104,945.104,1.00543,3.044109,1.0
synthetic_unet_trace,trace_conv_018,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv_shortcut,conv,1 16 16 128 64 1 1 0,current_rtl,1120.0,1.1914893617021276,8.0,current visible FLOOD RTL scale,512.0,256.0,1024.0,256.0,0.0,0.0,0.0,16.0,32.0,512.0,0.0,1874.0,1874.0,1.993617,0.597652,1.0
synthetic_unet_trace,trace_conv_018,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv_shortcut,conv,1 16 16 128 64 1 1 0,equal_peak_dense,1120.0,1.1914893617021276,8.0,equal peak MAC/cycle normalization only,64.0,32.0,128.0,32.0,0.0,0.0,0.0,2.0,4.0,64.0,0.0,230.0,230.0,0.244681,4.869565,1.0
synthetic_unet_trace,trace_conv_018,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv_shortcut,conv,1 16 16 128 64 1 1 0,flood_conservative,1120.0,1.1914893617021276,8.0,equal peak + conservative FLOOD dataflow/sparsity assumptions,57.6,27.2,108.8,27.2,3.264,2.176,0.0,2.0,3.4,54.4,0.0,211.24,211.24,0.224723,5.302026,1.0
synthetic_unet_trace,trace_conv_018,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv_shortcut,conv,1 16 16 128 64 1 1 0,flood_main,1120.0,1.1914893617021276,8.0,equal peak + main FLOOD paper-level assumptions,48.0,24.0,96.0,24.0,3.84,1.92,0.0,2.0,3.0,48.0,0.0,188.76,188.76,0.200809,5.93346,1.0
synthetic_unet_trace,trace_conv_018,Synthetic_UNet2DCondition_trace,up_blocks.0.resnets.0.conv_shortcut,conv,1 16 16 128 64 1 1 0,flood_aggressive,1120.0,1.1914893617021276,8.0,equal peak + aggressive sensitivity assumptions,38.4,20.8,83.2,20.8,4.16,2.496,0.0,2.0,2.6,41.6,0.0,168.856,168.856,0.179634,6.632871,1.0
synthetic_unet_trace,trace_conv_019,Synthetic_UNet2DCondition_trace,up_blocks.1.resnets.0.conv1,conv,1 32 32 128 64 3 1 1,current_rtl,8001.0,8.511702127659575,8.0,current visible FLOOD RTL scale,18432.0,2304.0,36864.0,1024.0,0.0,0.0,256.0,64.0,256.0,4096.0,256.0,42850.0,42850.0,45.585106,0.186721,1.0
