id,workload,stage,operator,shape_args,reason,log_file,num_simulations,total_cycles,max_cycles,latency_us,wall_clock_s,avg_dram_aggregate_gbps,avg_systolic_util_pct,avg_vector_util_pct,dma_active_cycles,dram_reads,dram_writes,status,dataset,rtl_compute_cycles,rtl_weight_load_cycles,rtl_activation_load_cycles,rtl_output_store_cycles,rtl_config_cycles,rtl_shift_add_cycles,rtl_noc_reduce_cycles,rtl_tile_output_transfer_cycles,rtl_output_arbiter_cycles,rtl_joint_sram_cycles,rtl_total_cycles,rtl_latency_us,rtl_useful_macs,rtl_padded_macs,rtl_compute_utilization,rtl_m_blocks,rtl_k_blocks,rtl_n_blocks,rtl_workmode_class,rtl_output_transfer_multiplier,rtl_model_note,rtl_speedup_vs_pytorchsim_baseline,pytorchsim_cycles,pytorchsim_latency_us,backend_scenario,shape_desc,max_expected_runtime_s
trace_gemm_001,Synthetic_UNet2DCondition_trace,time_embedding.linear_1,gemm,1 64 256,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_001.log,1,623,623,0.6627659574468086,4.666201,120.9,0.16,2.57,157,2240,264,ok,synthetic_unet_trace,64,512,2,4,40,0,7,8,8,0,579,0.6159574468085106,16384,262144,0.0625,1,2,8,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",1.075993091537133,623.0,0.6627659574468086,current_rtl,Linear is mapped to GEMM M K N.,300
trace_gemm_002,Synthetic_UNet2DCondition_trace,time_embedding.linear_2,gemm,1 256 256,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_002.log,1,1101,1101,1.171276595744681,5.217135,252.44,0.18,1.45,579,8976,264,ok,synthetic_unet_trace,256,2048,8,4,40,0,7,8,8,0,2115,2.25,65536,1048576,0.0625,1,8,8,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.5205673758865248,1101.0,1.171276595744681,current_rtl,Linear is mapped to GEMM M K N.,300
trace_conv_003,Synthetic_UNet2DCondition_trace,conv_in,conv,1 32 32 4 64 3 1 1,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_003.log,1,6118,6118,6.508510638297873,4.141812,71.01,75.32,2.75,1002,6250,8192,ok,synthetic_unet_trace,1024,72,1152,1024,34,256,64,256,4096,256,7138,7.593617021276596,2359296,4194304,0.5625,64,2,2,spatial_conv,2,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.8571028299243486,6118.0,6.508510638297873,current_rtl,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300
trace_conv_004,Synthetic_UNet2DCondition_trace,down_blocks.0.resnets.0.conv1,conv,1 32 32 64 64 3 1 1,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_004.log,1,6796,6796,7.229787234042553,5.341181,172.46,67.8,2.18,2483,30771,8192,ok,synthetic_unet_trace,9216,1152,18432,1024,34,256,64,256,4096,256,24418,25.97659574468085,37748736,37748736,1.0,64,18,2,spatial_conv,2,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.2783192726677042,6796.0,7.229787234042553,current_rtl,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300
trace_gemm_005,Synthetic_UNet2DCondition_trace,down_blocks.0.resnets.0.time_emb_proj,gemm,1 256 64,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_005.log,1,656,656,0.6978723404255319,4.472764,108.95,0.15,1.07,149,2312,64,ok,synthetic_unet_trace,64,512,8,1,34,0,1,2,2,0,552,0.5872340425531914,16384,262144,0.0625,1,8,2,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",1.1884057971014492,656.0,0.6978723404255319,current_rtl,Linear is mapped to GEMM M K N.,300
trace_conv_006,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.proj_in,conv,1 32 32 64 64 1 1 0,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_006.log,1,2117,2117,2.252127659574468,4.136857,247.35,24.185000000000002,7.27,1088,9216,8192,ok,synthetic_unet_trace,1024,128,2048,1024,34,0,64,128,2048,0,5346,5.687234042553191,4194304,4194304,1.0,64,2,2,pointwise_conv,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.3959970071081182,2117.0,2.252127659574468,current_rtl,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300
trace_gemm_007,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,gemm,1024 64 64,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_007.log,1,1804,1804,1.9191489361702128,4.110266,290.26,28.38,8.09,1088,9216,8192,ok,synthetic_unet_trace,1024,128,2048,1024,34,0,1,128,2048,0,5283,5.620212765957447,4194304,4194304,1.0,64,2,2,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.34147264811660044,1804.0,1.9191489361702128,current_rtl,Linear is mapped to GEMM M K N.,300
trace_gemm_008,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k,gemm,77 768 64,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_008.log,1,1694,1694,1.8021276595744682,7.187293,258.25,13.635,1.59,909,13904,640,ok,synthetic_unet_trace,960,1536,1848,77,34,0,1,10,160,0,2130,2.265957446808511,3784704,3932160,0.9625,5,24,2,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.7953051643192488,1694.0,1.8021276595744682,current_rtl,Linear is mapped to GEMM M K N.,300
trace_gemm_009,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.0.proj,gemm,1024 64 512,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_009.log,1,6802,6802,7.236170212765957,6.745598,362.27,30.11,8.41,5120,16384,65536,ok,synthetic_unet_trace,8192,1024,2048,8192,48,0,15,1024,16384,0,33983,36.15212765957447,33554432,33554432,1.0,64,2,16,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.20015890298090222,6802.0,7.236170212765957,current_rtl,Linear is mapped to GEMM M K N.,300
trace_gemm_010,Synthetic_UNet2DCondition_trace,down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2,gemm,1024 256 64,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_gemm_010.log,1,3611,3611,3.8414893617021275,4.558707,375.32,28.36,4.04,2816,36864,8192,ok,synthetic_unet_trace,4096,512,8192,1024,34,0,1,128,2048,0,11427,12.156382978723403,16777216,16777216,1.0,64,8,2,gemm,1,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.3160059508182375,3611.0,3.8414893617021275,current_rtl,Linear is mapped to GEMM M K N.,300
trace_conv_011,Synthetic_UNet2DCondition_trace,down_blocks.0.downsamplers.0.conv,conv,1 32 32 64 64 3 2 1,unique shape traced from synthetic UNet forward,/root/autodl-tmp/torchsim_work/flood_results/logs/synthetic_unet_unique_v1/trace_conv_011.log,1,2745,2745,2.9202127659574466,4.80463,223.37,41.97,1.46,1274,18336,2048,ok,synthetic_unet_trace,2304,1152,4608,256,34,64,16,64,1024,64,6130,6.5212765957446805,9437184,9437184,1.0,16,18,2,spatial_conv,2,"derived from FLOOD Config.scala, Tile.scala, Cluster.scala, and MacMachine_top.v; excludes unimplemented outlier/softmax features",0.44779771615008157,2745.0,2.9202127659574466,current_rtl,Conv2d input is NCHW; PyTorchSim conv expects B H W I_C O_C K S P.,300
