workload_id,cycle,spatial_idx,cin_idx,phase,rule
person2_sd_unet_gemm_001,0,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,1,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,2,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,3,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,4,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,5,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,6,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,7,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,8,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,9,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,10,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,11,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,12,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,13,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,14,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,15,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,16,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,17,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,18,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,19,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,20,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,21,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,22,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,23,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,24,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,25,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,26,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,27,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,28,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,29,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,30,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,31,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,32,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,33,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,34,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,35,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,36,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,37,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,38,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,39,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,40,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,41,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,42,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,43,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,44,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,45,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,46,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,47,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,48,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,49,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,50,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,51,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,52,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,53,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,54,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,55,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
person2_sd_unet_gemm_001,56,0,0,first_spatial_first_cin_startup,k1_group16_spatial_reuse_v8
