experiment,operator,shape,baseline_cycles,baseline_latency_us,estimated_flood_cycles,estimated_flood_latency_us,estimated_speedup,compute_speedup_assumption,memory_traffic_reduction_assumption,metadata_cycles,outlier_cycles,switch_cycles,note
gemm_128,gemm,128x128x128,1089,1.1585106382978723,875,0.9308510638297872,1.2445714285714287,1.2,0.85,32.67,21.78,10,initial post-processing model; not final paper number
conv_smoke,conv,N1_C32_H32_K320_R3_stride1_pad1,54336,57.804255319148936,44978,47.84893617021277,1.2080572724443062,1.15,0.85,1630.08,1086.72,10,initial post-processing model; not final paper number
softmax_512,softmax,512x512,11804,12.557446808510639,8713,9.269148936170213,1.3547572592677608,1.3,0.85,354.12,236.08,10,initial post-processing model; not final paper number
diffusion_smoke,diffusion_unet_smoke,synthetic_unet_block,2004846,2132.8148936170214,1619347,1722.709574468085,1.2380583037483628,1.18,0.85,60145.38,40096.92,10,initial post-processing model; not final paper number
