next_case_id,source_case_id,dataset,source_id,operator,shape_args,priority,expected_policy,k,cout_blocks,group_size,group_num,cin_idx_total,res_cols,res_rows,stride,timeout_s,rc,run_count,cycle_list,total_cycles,x_count,timeout,log
calib_07_repeat,calib_07,synthetic_unet_trace,trace_conv_011,conv,1 32 32 64 64 3 2 1,P0,should_complete_tile,3,2,4,4,1,1,4,2,360,0,0,NA,NA,0,no,logs/calib_07_repeat.log
calib_08_repeat,calib_08,synthetic_unet_trace,trace_conv_004,conv,1 32 32 64 64 3 1 1,P0,should_complete_tile,3,2,4,4,1,1,4,1,360,0,0,NA,NA,0,no,logs/calib_08_repeat.log
calib_09_safe_tile,calib_09,workload_v1,unet_conv_64_320_320,conv,1 64 64 320 320 3 1 1,P0,likely_complete_tile,3,2,4,4,1,1,4,1,360,0,0,NA,NA,0,no,logs/calib_09_safe_tile.log
calib_10_safe_tile,calib_10,workload_v1,unet_conv_32_640_640,conv,1 32 32 640 640 3 1 1,P0,likely_complete_tile,3,2,4,4,1,1,4,1,360,0,0,NA,NA,0,no,logs/calib_10_safe_tile.log
