case,k,cout,group_size,group_num,cin_idx_total,res_cols,res_rows,rc,run_count,cycle_list,total_cycles,x_count,cluster_x,router_read_x,router_write_x,output_read_x,feature_lines,feature_hex_chars,log,split,v7_status,v7_final_run,v7_nonfinal_run,v7_predicted_total,v7_error_percent
k3_c2_g16_ci1,3,2,16,1,1,1,1,0,1,332,332,0,0,0,0,0,512,64,logs/k3_c2_g16_ci1.log,fit,rtl_clean,332.0,329.0,332.0,0.0
k3_c4_g16_ci1,3,4,16,1,1,1,1,0,1,626,626,0,0,0,0,0,512,64,logs/k3_c4_g16_ci1.log,fit,rtl_clean,626.0,623.0,626.0,0.0
k3_c6_g16_ci1,3,6,16,1,1,1,1,0,1,920,920,0,0,0,0,0,512,64,logs/k3_c6_g16_ci1.log,fit,rtl_clean,920.0,917.0,920.0,0.0
k3_c2_g16_ci2,3,2,16,1,2,1,1,0,2,329;332,661,0,0,0,0,0,1024,64,logs/k3_c2_g16_ci2.log,fit,rtl_clean,332.0,329.0,661.0,0.0
k3_c4_g16_ci2,3,4,16,1,2,1,1,0,2,623;626,1249,0,0,0,0,0,1024,64,logs/k3_c4_g16_ci2.log,fit,rtl_clean,626.0,623.0,1249.0,0.0
k3_h_c3_g16_ci1,3,3,16,1,1,1,1,0,1,479,479,0,0,0,0,0,512,64,logs/k3_h_c3_g16_ci1.log,holdout,rtl_clean,479.0,476.0,479.0,0.0
k3_h_c5_g16_ci1,3,5,16,1,1,1,1,0,1,773,773,0,0,0,0,0,512,64,logs/k3_h_c5_g16_ci1.log,holdout,rtl_clean,773.0,770.0,773.0,0.0
k3_h_c3_g16_ci3,3,3,16,1,3,1,1,0,3,476;476;479,1431,0,0,0,0,0,1536,64,logs/k3_h_c3_g16_ci3.log,holdout,rtl_clean,479.0,476.0,1431.0,0.0
k3_h_c5_g16_ci3,3,5,16,1,3,1,1,0,3,770;770;773,2313,0,0,0,0,0,1536,64,logs/k3_h_c5_g16_ci3.log,holdout,rtl_clean,773.0,770.0,2313.0,0.0
