next_case_id,source_case_id,dataset,source_id,operator,shape_args,priority,rtl_tile_run_count,rtl_tile_total_cycles,rtl_avg_cycles_per_tile_run,full_layer_tile_count_estimate,rtl_tile_projected_mac_cycles,projection_scope,calibration_status,ready_for_direct_paper_data,paper_data_blocker,paper_use_policy
calib_07_repeat,calib_07,synthetic_unet_trace,trace_conv_011,conv,1 32 32 64 64 3 2 1,P0,4,532,133.00,8,1064,mac_wrapper_tile_calibrated_full_layer_projection,rtl_expansion_complete_clean,no,projection_not_full_chip_and_no_golden_value_check,calibration_projection_only
calib_08_repeat,calib_08,synthetic_unet_trace,trace_conv_004,conv,1 32 32 64 64 3 1 1,P0,4,532,133.00,4,532,mac_wrapper_tile_calibrated_full_layer_projection,rtl_expansion_complete_clean,no,projection_not_full_chip_and_no_golden_value_check,calibration_projection_only
calib_09_safe_tile,calib_09,workload_v1,unet_conv_64_320_320,conv,1 64 64 320 320 3 1 1,P0,4,532,133.00,240,31920,mac_wrapper_tile_calibrated_full_layer_projection,rtl_expansion_complete_clean,no,projection_not_full_chip_and_no_golden_value_check,calibration_projection_only
calib_10_safe_tile,calib_10,workload_v1,unet_conv_32_640_640,conv,1 32 32 640 640 3 1 1,P0,4,532,133.00,200,26600,mac_wrapper_tile_calibrated_full_layer_projection,rtl_expansion_complete_clean,no,projection_not_full_chip_and_no_golden_value_check,calibration_projection_only
