confidence_grade,paper_use_policy,rows,value_check_status
C_projection_small_extent_not_directly_run,appendix_projection_only,20,missing_evidence
D_observed_large_spatial_x_boundary,exclude_from_main_performance_tables,8,missing_evidence
D_observed_multicin_spatial_x_boundary,exclude_from_main_performance_tables,2,missing_evidence
TOTAL,all_rows,30,missing_evidence
